Время                                       Угловой преобразователь 3 COM8 - Абсолютная Угловой преобразователь 2 COM8 - Абсолютная Угловой преобразователь 1 COM8 - Абсолютная 
* 0                                          223°56´43´´                                 261°41´39´´                                 205°45´07´´                                
110                                          224°01´59´´                                 265°20´30´´                                 209°29´14´´                                
219                                          224°01´59´´                                 264°43´35´´                                 209°29´14´´                                
328                                          224°01´59´´                                 264°43´35´´                                 209°23´57´´                                
438                                          224°01´59´´                                 263°45´35´´                                 209°23´57´´                                
547                                          224°01´59´´                                 263°45´35´´                                 209°55´36´´                                
656                                          224°01´59´´                                 262°44´56´´                                 210°19´20´´                                
766                                          224°01´59´´                                 261°02´06´´                                 210°19´20´´                                
875                                          224°01´59´´                                 261°02´06´´                                 209°50´19´´                                
985                                          224°01´59´´                                 259°19´16´´                                 209°50´19´´                                
1094                                         224°01´59´´                                 259°19´16´´                                 209°16´03´´                                
1203                                         224°01´59´´                                 258°37´05´´                                 209°16´03´´                                
1313                                         224°01´59´´                                 258°37´05´´                                 209°00´14´´                                
1422                                         224°01´59´´                                 258°50´16´´                                 209°00´14´´                                
1531                                         224°01´59´´                                 259°43´00´´                                 209°00´14´´                                
1641                                         224°01´59´´                                 259°43´00´´                                 209°10´46´´                                
1750                                         224°01´59´´                                 261°10´01´´                                 209°10´46´´                                
1860                                         224°01´59´´                                 261°10´01´´                                 209°10´46´´                                
1969                                         224°01´59´´                                 262°13´18´´                                 209°31´52´´                                
2078                                         224°01´59´´                                 262°13´18´´                                 209°31´52´´                                
2188                                         224°01´59´´                                 262°44´56´´                                 209°34´30´´                                
2297                                         224°01´59´´                                 263°11´18´´                                 209°34´30´´                                
2406                                         224°01´59´´                                 263°11´18´´                                 209°26´36´´                                
2516                                         224°01´59´´                                 263°27´07´´                                 209°13´25´´                                
2625                                         224°01´59´´                                 263°27´07´´                                 209°13´25´´                                
2735                                         224°01´59´´                                 263°13´56´´                                 208°44´24´´                                
2844                                         224°01´59´´                                 262°31´45´´                                 208°44´24´´                                
2953                                         224°01´59´´                                 262°31´45´´                                 208°25´57´´                                
3063                                         224°01´59´´                                 261°49´34´´                                 208°25´57´´                                
3172                                         224°01´59´´                                 261°49´34´´                                 208°07´30´´                                
3281                                         224°01´59´´                                 261°10´01´´                                 208°04´51´´                                
3391                                         224°01´59´´                                 261°02´06´´                                 208°04´51´´                                
3500                                         224°01´59´´                                 261°02´06´´                                 207°56´57´´                                
3610                                         224°01´59´´                                 261°23´12´´                                 207°56´57´´                                
3719                                         224°01´59´´                                 261°23´12´´                                 207°59´35´´                                
3828                                         224°01´59´´                                 261°20´33´´                                 207°59´35´´                                
3938                                         224°01´59´´                                 261°20´33´´                                 207°54´18´´                                
4047                                         224°01´59´´                                 261°25´50´´                                 207°51´40´´                                
4156                                         224°01´59´´                                 261°31´06´´                                 207°51´40´´                                
4266                                         224°01´59´´                                 261°31´06´´                                 207°49´02´´                                
4375                                         224°01´59´´                                 261°57´28´´                                 207°49´02´´                                
4485                                         224°01´59´´                                 261°57´28´´                                 208°10´08´´                                
4594                                         224°01´59´´                                 262°08´01´´                                 208°39´08´´                                
4703                                         224°01´59´´                                 262°08´01´´                                 208°39´08´´                                
4813                                         224°01´59´´                                 262°18´34´´                                 209°08´08´´                                
4922                                         224°01´59´´                                 262°15´56´´                                 209°08´08´´                                
5031                                         224°01´59´´                                 262°15´56´´                                 209°52´58´´                                
5141                                         224°01´59´´                                 262°00´07´´                                 210°21´58´´                                
5250                                         224°01´59´´                                 262°00´07´´                                 210°21´58´´                                
5360                                         224°01´59´´                                 261°44´17´´                                 210°32´31´´                                
5469                                         224°01´59´´                                 261°41´39´´                                 210°32´31´´                                
5578                                         224°01´59´´                                 261°41´39´´                                 210°35´09´´                                
5688                                         224°01´59´´                                 261°44´17´´                                 210°35´09´´                                
5797                                         224°01´59´´                                 261°44´17´´                                 210°35´09´´                                
5906                                         224°01´59´´                                 261°57´28´´                                 210°35´09´´                                
6016                                         224°01´59´´                                 262°29´07´´                                 210°35´09´´                                
6125                                         224°01´59´´                                 262°29´07´´                                 210°24´36´´                                
6235                                         224°01´59´´                                 262°42´18´´                                 210°24´36´´                                
6344                                         224°01´59´´                                 262°42´18´´                                 210°00´52´´                                
6453                                         224°01´59´´                                 262°34´23´´                                 210°00´52´´                                
6563                                         224°01´59´´                                 262°34´23´´                                 209°42´25´´                                
6672                                         224°01´59´´                                 262°29´07´´                                 209°21´19´´                                
6781                                         224°01´59´´                                 262°21´12´´                                 209°21´19´´                                
6891                                         224°01´59´´                                 262°21´12´´                                 208°49´41´´                                
7000                                         224°01´59´´                                 262°21´12´´                                 208°49´41´´                                
7110                                         224°01´59´´                                 262°21´12´´                                 208°39´08´´                                
7219                                         224°01´59´´                                 262°08´01´´                                 208°23´19´´                                
7328                                         224°01´59´´                                 262°08´01´´                                 208°23´19´´                                
